,Unnamed: 0,t,m,j,u,Price
0,0,2019,SAINT-LOUIS,"Offal and tripe (liver, kidney, etc.)",Kg,3000.0
1,1,2019,SAINT-LOUIS,"Offal and tripe (liver, kidney, etc.)",Lakhass,
2,2,2019,SAINT-LOUIS,"Offal and tripe (liver, kidney, etc.)",Tas,
3,3,2019,SAINT-LOUIS,Garlic,Kg,1000.0
4,4,2019,SAINT-LOUIS,Garlic,Sachet,25.0
5,5,2019,SAINT-LOUIS,Garlic,Tas,62.5
6,6,2019,SAINT-LOUIS,Garlic,Tranche,25.0
7,7,2019,SAINT-LOUIS,Garlic,Unit,50.0
8,8,2019,SAINT-LOUIS,Pineapple,Boite De Tomate/Pot,700.0
9,9,2019,SAINT-LOUIS,Pineapple,Unit,
10,10,2019,SAINT-LOUIS,Roasted peanuts,Cornet,
11,11,2019,SAINT-LOUIS,Roasted peanuts,Kg,
12,12,2019,SAINT-LOUIS,Roasted peanuts,Sachet,
13,13,2019,SAINT-LOUIS,Shelled or pounded peanuts (noflaye),Boite De Tomate/Pot,250.0
14,14,2019,SAINT-LOUIS,Shelled or pounded peanuts (noflaye),Boîte,
15,15,2019,SAINT-LOUIS,Shelled or pounded peanuts (noflaye),Cup/Goblet,
16,16,2019,SAINT-LOUIS,Shelled or pounded peanuts (noflaye),Kg,600.0
17,17,2019,SAINT-LOUIS,Shelled or pounded peanuts (noflaye),Sachet,100.0
18,18,2019,SAINT-LOUIS,Shelled or pounded peanuts (noflaye),Teacup,
19,19,2019,SAINT-LOUIS,Fresh peanuts (in shells),Boite De Tomate/Pot,
20,20,2019,SAINT-LOUIS,Fresh peanuts (in shells),Kg,
21,21,2019,SAINT-LOUIS,Fresh peanuts (in shells),Teacup,
22,22,2019,SAINT-LOUIS,Dried peanuts (in shells),Boite De Tomate/Pot,
23,23,2019,SAINT-LOUIS,Dried peanuts (in shells),Kg,
24,24,2019,SAINT-LOUIS,Dried peanuts (in shells),Sachet,150.0
25,25,2019,SAINT-LOUIS,"Seasoning/flavoring (Maggi, Jumbo, etc.)",Bouteilles,550.0
26,26,2019,SAINT-LOUIS,"Seasoning/flavoring (Maggi, Jumbo, etc.)",Sachet,50.0
27,27,2019,SAINT-LOUIS,"Eggplant, squash/zucchini",Kg,300.0
28,28,2019,SAINT-LOUIS,"Eggplant, squash/zucchini",Morceau,50.0
29,29,2019,SAINT-LOUIS,"Eggplant, squash/zucchini",Tas,250.0
30,30,2019,SAINT-LOUIS,"Eggplant, squash/zucchini",Tranche,37.5
31,31,2019,SAINT-LOUIS,"Eggplant, squash/zucchini",Unit,50.0
32,32,2019,SAINT-LOUIS,Other fresh vegetables n.e.c. (including white hibiscus flowers),Boite De Tomate/Pot,450.0
33,33,2019,SAINT-LOUIS,Other fresh vegetables n.e.c. (including white hibiscus flowers),Kg,400.0
34,34,2019,SAINT-LOUIS,Other fresh vegetables n.e.c. (including white hibiscus flowers),Morceau,62.5
35,35,2019,SAINT-LOUIS,Other fresh vegetables n.e.c. (including white hibiscus flowers),Sachet,
36,36,2019,SAINT-LOUIS,Other fresh vegetables n.e.c. (including white hibiscus flowers),Tas,50.0
37,37,2019,SAINT-LOUIS,Other fresh vegetables n.e.c. (including white hibiscus flowers),Unit,50.0
38,38,2019,SAINT-LOUIS,Other citrus fruits,Kg,900.0
39,39,2019,SAINT-LOUIS,Other citrus fruits,Unit,100.0
40,40,2019,SAINT-LOUIS,"Other condiments (pepper, etc.)",Cornet,
41,41,2019,SAINT-LOUIS,"Other condiments (pepper, etc.)",Kg,3000.0
42,42,2019,SAINT-LOUIS,"Other condiments (pepper, etc.)",Sachet,25.0
43,43,2019,SAINT-LOUIS,"Other condiments (pepper, etc.)",Teacup,
44,44,2019,SAINT-LOUIS,Other cereals,Kg,5916.666667
45,45,2019,SAINT-LOUIS,Other cereals,Sachet,250.0
46,46,2019,SAINT-LOUIS,Other cereal flours,Kg,
47,47,2019,SAINT-LOUIS,Other cereal flours,Paquet,
48,48,2019,SAINT-LOUIS,Other cereal flours,Sachet,250.0
49,49,2019,SAINT-LOUIS,"Other fruits (apples, grapes, etc.)",Kg,1100.0
50,50,2019,SAINT-LOUIS,"Other fruits (apples, grapes, etc.)",Unit,200.0
51,51,2019,SAINT-LOUIS,"Other oils n.e.c. (corn oil, palm kernel oil, etc.)",Boite De Tomate/Pot,
52,52,2019,SAINT-LOUIS,"Other oils n.e.c. (corn oil, palm kernel oil, etc.)",Bouteille de 25cl,
53,53,2019,SAINT-LOUIS,"Other oils n.e.c. (corn oil, palm kernel oil, etc.)",Litre,
