,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
0,11011,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1,110110,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361
2,110111,2018,ziguinchor,0,0,2,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1.386294361
3,110112,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
4,11012,2018,ziguinchor,2,4,2,2,0,0,0,1,1,1,1,2,1,1,0,1,1,0,2.302585093
5,11013,2018,ziguinchor,1,2,2,1,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1.791759469
6,11014,2018,ziguinchor,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
7,11015,2018,ziguinchor,1,4,1,1,0,0,0,0,1,2,0,2,0,0,1,1,0,0,1.945910149
8,11016,2018,ziguinchor,1,2,1,3,0,0,0,0,1,1,0,1,2,0,0,1,1,0,1.945910149
9,11017,2018,ziguinchor,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.791759469
10,11018,2018,ziguinchor,1,2,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
11,11019,2018,ziguinchor,1,2,0,4,0,0,0,2,0,0,0,0,2,0,1,0,1,1,1.945910149
12,11031,2018,ziguinchor,1,1,2,2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1.791759469
13,110310,2018,ziguinchor,2,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1.609437912
14,110311,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1.386294361
15,110312,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806
16,11032,2018,ziguinchor,3,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1.791759469
17,11033,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
18,11034,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
19,11035,2018,ziguinchor,2,3,3,1,1,0,0,1,2,2,0,0,0,1,1,0,0,1,2.197224577
20,11036,2018,ziguinchor,3,2,0,2,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1.945910149
21,11037,2018,ziguinchor,3,2,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1.791759469
22,11038,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806
23,11039,2018,ziguinchor,1,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1.609437912
24,11041,2018,ziguinchor,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.609437912
25,110410,2018,ziguinchor,4,2,0,2,0,0,0,1,0,1,0,1,1,2,0,0,1,1,2.079441542
26,110411,2018,ziguinchor,3,3,0,2,0,0,0,1,0,0,0,2,0,0,2,1,0,2,2.079441542
27,110412,2018,ziguinchor,2,2,1,1,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1.791759469
28,11042,2018,ziguinchor,2,1,5,3,1,0,1,0,1,0,2,1,1,0,2,1,0,1,2.397895273
29,11043,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
