,j,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc
0,Avocado,1600,20.0,70.0,810,120,85.0,6.0,17.38,1.3,0.67,70,0.0,2.57,100,6.0
1,Beans (dry),1700,98.0,60.0,500,580,325.0,30.0,7.0,1.2,3.4,0,0.0,2.15,10,8.0
2,Beans (fresh),3470,214.0,160.0,5250,1130,626.0,51.0,11.74,2.12,7.13,0,0.0,4.74,63,23.0
3,Beef,2510,182.0,0.0,60,70,0.0,19.0,31.5,1.6,0.9,0,28.9,3.8,0,37.0
4,Beef (roasted),2910,264.0,0.0,70,90,0.0,27.0,37.2,2.2,0.9,0,24.7,3.4,0,60.0
5,Beef Liver,1350,204.0,0.0,2900,50,39.0,49.0,131.75,27.55,1.89,49680,593.0,10.83,13,40.0
6,Beef Offal,850,120.7,0.0,50,690,0.0,5.9,8.81,0.64,0.0,0,13.9,0.14,0,14.2
7,Biscuits,4460,69.0,10.0,1030,430,741.0,28.0,34.7,3.26,3.5,0,0.5,0.22,0,6.0
8,Bogoya,890,11.0,30.0,200,50,228.0,3.0,6.65,0.73,0.31,30,0.0,3.67,87,2.0
9,Bongo,640,33.0,0.0,50,1620,45.0,1.0,1.0,1.5,0.2,370,4.4,0.36,0,6.0
10,Bread,2660,76.0,20.0,1110,1510,506.0,37.0,43.85,3.31,4.55,0,0.0,0.84,0,7.0
11,Cabbage (red),310,14.0,20.0,180,450,74.0,8.0,4.18,0.69,0.64,560,0.0,2.09,570,2.0
12,Cabbages,250,13.0,30.0,430,400,58.0,5.0,2.34,0.4,0.61,50,0.0,1.24,366,2.0
13,Cakes,3570,54.0,10.0,380,1300,572.0,15.0,15.33,2.42,1.86,150,0.8,0.21,2,3.0
14,Carrots,410,9.0,30.0,190,330,96.0,3.0,9.83,0.58,0.66,8350,0.0,1.38,59,2.0
15,Cassava (flour),3140,26.0,40.0,360,310,766.0,19.0,14.0,0.5,3.1,70,0.0,7.0,720,7.0
16,Cassava (fresh),1600,14.0,20.0,270,160,381.0,3.0,8.54,0.48,0.87,10,0.0,0.88,206,3.0
17,Chapati,2750,91.0,20.0,240,860,557.0,14.0,21.42,0.97,2.67,0,0.0,0.34,0,8.0
18,Chicken (off-layer),2150,186.0,0.0,60,110,0.0,9.0,68.01,1.2,0.6,420,3.1,3.5,16,13.0
19,Chicken (roasted),2390,273.0,0.0,50,150,0.0,13.0,84.87,1.68,0.63,480,3.0,4.0,0,19.0
20,Cooking Oil,8840,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
21,Dodo,230,25.0,0.0,850,2150,40.0,23.0,6.58,1.58,0.27,1460,0.0,1.92,433,9.0
22,Eggplant,240,10.0,30.0,220,90,57.0,2.0,6.49,0.37,0.39,10,0.0,0.84,22,2.0
23,Eggs,1430,126.0,0.0,470,530,8.0,18.0,0.7,4.78,0.69,1400,12.9,1.43,0,11.0
24,Eggs (white yolk),480,109.0,0.0,40,70,7.0,1.0,1.05,4.39,0.04,0,0.9,0.05,0,0.0
25,Eggs (yellow yolk),3170,159.0,0.0,1460,1290,36.0,27.0,0.24,5.28,1.76,3810,19.5,3.5,0,23.0
26,Fresh Fish,1390,193.0,0.0,10,110,0.0,4.0,23.0,1.7,1.3,300,24.0,4.0,16,5.0
27,Garlic,1490,64.0,20.0,30,1810,331.0,17.0,7.0,1.1,2.0,0,0.0,12.35,312,12.0
28,Ghee,8760,3.0,0.0,0,40,0.0,0.0,0.03,0.05,0.01,8400,0.1,0.01,0,0.0
29,Goat (roasted),1570,297.0,0.0,60,180,0.0,38.0,51.36,6.71,1.27,0,16.3,2.74,0,55.0
30,Goat Liver,1390,204.0,0.0,2300,70,18.0,74.0,161.1,36.3,3.4,73910,900.5,9.0,40,47.0
31,Goat Meat,1090,206.0,0.0,50,130,0.0,28.0,37.5,4.9,1.1,0,11.3,2.0,0,40.0
32,Goat Offal,850,120.7,0.0,50,690,0.0,5.9,8.81,0.64,0.0,0,13.9,0.14,0,14.2
33,Green Pepper,200,9.0,20.0,100,100,46.0,3.0,4.8,0.28,0.57,180,0.0,2.24,804,1.0
34,Ground Nuts (in shell),4370,199.0,70.0,1850,710,124.0,35.0,93.03,1.04,4.93,0,0.0,2.68,0,25.0
35,Ground Nuts (paste),5880,251.0,60.0,740,430,196.0,19.0,134.03,1.05,0.73,0,0.0,5.43,0,29.0
36,Ground Nuts (pounded),5670,258.0,90.0,2400,920,161.0,46.0,120.66,1.35,6.4,0,0.0,3.48,0,33.0
37,Ground Nuts (shelled),4370,199.0,70.0,1850,710,124.0,35.0,93.03,1.04,4.93,0,0.0,2.68,0,25.0
38,Honey,3040,3.0,0.0,20,60,824.0,4.0,1.21,0.38,0.0,0,0.0,0.24,5,2.0
39,Irish Potatoes,770,20.0,20.0,160,120,175.0,8.0,10.54,0.32,0.8,0,0.0,2.95,197,3.0
40,Jackfruit (fresh),940,15.0,20.0,140,340,240.0,6.0,4.0,1.1,0.3,150,0.0,1.08,67,4.0
41,Kabalagala,2540,17.0,30.0,160,200,487.0,11.0,8.6,0.38,1.26,1100,0.0,4.57,320,4.0
42,Macaroni/Spaghetti,3710,130.0,32.0,180,210,747.0,13.0,17.0,0.6,0.9,0,0.0,1.42,0,14.0
43,Maize (white;cobs),1720,44.0,40.0,120,30,349.0,13.0,17.04,0.94,1.81,0,0.0,2.92,0,10.0
44,Maize (white;flour),3690,73.0,40.0,300,30,792.0,11.0,10.0,0.5,1.4,0,0.0,1.98,0,7.0
45,Maize (white;grains),1720,44.0,40.0,120,30,349.0,13.0,17.04,0.94,1.81,0,0.0,2.92,0,10.0
46,Maize (yellow;cobs),1720,44.0,30.0,90,30,349.0,13.0,17.04,0.94,1.81,50,0.0,2.92,0,10.0
