t,m,j,u,Price
2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Kg,3000
2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Lakhass,
2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Tas,
2019,SAINT-LOUIS,Ail,Kg,1000
2019,SAINT-LOUIS,Ail,Sachet,25
2019,SAINT-LOUIS,Ail,Tas,62.5
2019,SAINT-LOUIS,Ail,Tranche,25
2019,SAINT-LOUIS,Ail,Unit,50
2019,SAINT-LOUIS,Ananas,Boite De Tomate/Pot,700
2019,SAINT-LOUIS,Ananas,Unit,
2019,SAINT-LOUIS,Arachide grillée,Cornet,
2019,SAINT-LOUIS,Arachide grillée,Kg,
2019,SAINT-LOUIS,Arachide grillée,Sachet,
2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Boite De Tomate/Pot,250
2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Boîte,
2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Cup/Goblet,
2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Kg,600
2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Sachet,100
2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Teacup,
2019,SAINT-LOUIS,Arachides fraîches en coques,Boite De Tomate/Pot,
2019,SAINT-LOUIS,Arachides fraîches en coques,Kg,
2019,SAINT-LOUIS,Arachides fraîches en coques,Teacup,
2019,SAINT-LOUIS,Arachides séchées en coques,Boite De Tomate/Pot,
2019,SAINT-LOUIS,Arachides séchées en coques,Kg,
2019,SAINT-LOUIS,Arachides séchées en coques,Sachet,150
2019,SAINT-LOUIS,"Arôme (Maggi, Jumbo, etc.)",Bouteilles,550
2019,SAINT-LOUIS,"Arôme (Maggi, Jumbo, etc.)",Sachet,50
2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Kg,300
2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Morceau,50
2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Tas,250
2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Tranche,37.5
2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Unit,50
2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Boite De Tomate/Pot,450
2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Kg,400
2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Morceau,62.5
2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Sachet,
2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Tas,50
2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Unit,50
2019,SAINT-LOUIS,Autres agrumes,Kg,900
2019,SAINT-LOUIS,Autres agrumes,Unit,100
2019,SAINT-LOUIS,Autres condiments (poivre etc.),Cornet,
2019,SAINT-LOUIS,Autres condiments (poivre etc.),Kg,3000
2019,SAINT-LOUIS,Autres condiments (poivre etc.),Sachet,25
2019,SAINT-LOUIS,Autres condiments (poivre etc.),Teacup,
2019,SAINT-LOUIS,Autres céréales,Kg,5916.666667
2019,SAINT-LOUIS,Autres céréales,Sachet,250
2019,SAINT-LOUIS,Autres farines de céréales,Kg,
2019,SAINT-LOUIS,Autres farines de céréales,Paquet,
2019,SAINT-LOUIS,Autres farines de céréales,Sachet,250
2019,SAINT-LOUIS,"Autres fruits (pommes, raisin, etc.)",Kg,1100
2019,SAINT-LOUIS,"Autres fruits (pommes, raisin, etc.)",Unit,200
