,t,m,j,u,Price
0,2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Kg,3000.0
1,2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Lakhass,
2,2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Tas,
3,2019,SAINT-LOUIS,Ail,Kg,1000.0
4,2019,SAINT-LOUIS,Ail,Sachet,25.0
5,2019,SAINT-LOUIS,Ail,Tas,62.5
6,2019,SAINT-LOUIS,Ail,Tranche,25.0
7,2019,SAINT-LOUIS,Ail,Unit,50.0
8,2019,SAINT-LOUIS,Ananas,Boite De Tomate/Pot,700.0
9,2019,SAINT-LOUIS,Ananas,Unit,
10,2019,SAINT-LOUIS,Arachide grillée,Cornet,
11,2019,SAINT-LOUIS,Arachide grillée,Kg,
12,2019,SAINT-LOUIS,Arachide grillée,Sachet,
13,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Boite De Tomate/Pot,250.0
14,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Boîte,
15,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Cup/Goblet,
16,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Kg,600.0
17,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Sachet,100.0
18,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Teacup,
19,2019,SAINT-LOUIS,Arachides fraîches en coques,Boite De Tomate/Pot,
20,2019,SAINT-LOUIS,Arachides fraîches en coques,Kg,
21,2019,SAINT-LOUIS,Arachides fraîches en coques,Teacup,
22,2019,SAINT-LOUIS,Arachides séchées en coques,Boite De Tomate/Pot,
23,2019,SAINT-LOUIS,Arachides séchées en coques,Kg,
24,2019,SAINT-LOUIS,Arachides séchées en coques,Sachet,150.0
25,2019,SAINT-LOUIS,"Arôme (Maggi, Jumbo, etc.)",Bouteilles,550.0
26,2019,SAINT-LOUIS,"Arôme (Maggi, Jumbo, etc.)",Sachet,50.0
27,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Kg,300.0
28,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Morceau,50.0
29,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Tas,250.0
30,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Tranche,37.5
31,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Unit,50.0
32,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Boite De Tomate/Pot,450.0
33,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Kg,400.0
34,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Morceau,62.5
