i,t,m,j,Expenditure
21001,2019,ziguinchor,Ail,25
21001,2019,ziguinchor,Beurre,75
21001,2019,ziguinchor,Café,75
21001,2019,ziguinchor,Carotte,100
21001,2019,ziguinchor,Choux,50
21001,2019,ziguinchor,Citrons,25
21001,2019,ziguinchor,Concentré de tomate,125
21001,2019,ziguinchor,"Cube alimentaire (Maggi, Jumbo, )",25
21001,2019,ziguinchor,Feuilles d'oseille (bissap),25
21001,2019,ziguinchor,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",125
21001,2019,ziguinchor,Lait en poudre,100
21001,2019,ziguinchor,Oignon frais,350
21001,2019,ziguinchor,Pain traditionnel,300
21001,2019,ziguinchor,Piment,25
21001,2019,ziguinchor,Pomme de terre,100
21001,2019,ziguinchor,Pâte d'arachide,200
21001,2019,ziguinchor,Riz local brisé,300
21001,2019,ziguinchor,Sel,25
21001,2019,ziguinchor,Sucre (poudre ou morceaux),200
21001,2019,ziguinchor,Thé,100
21001,2019,ziguinchor,Viande de poulet,800
210010,2019,ziguinchor,Ail,100
210010,2019,ziguinchor,Arachides décortiquées ou pilées (noflaye),300
210010,2019,ziguinchor,Beurre,200
210010,2019,ziguinchor,Café,200
210010,2019,ziguinchor,Carotte,200
210010,2019,ziguinchor,Choux,150
210010,2019,ziguinchor,Citrons,50
210010,2019,ziguinchor,Concentré de tomate,200
210010,2019,ziguinchor,"Cube alimentaire (Maggi, Jumbo, )",75
210010,2019,ziguinchor,Dattes,200
210010,2019,ziguinchor,Feuilles d'oseille (bissap),75
210010,2019,ziguinchor,Huile de palme rouge,525
210010,2019,ziguinchor,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",400
210010,2019,ziguinchor,Lait concentré sucré,1000
210010,2019,ziguinchor,Lait en poudre,300
210010,2019,ziguinchor,Manioc,100
210010,2019,ziguinchor,Mayonnaise,1000
210010,2019,ziguinchor,Oeufs,600
210010,2019,ziguinchor,Oignon frais,400
210010,2019,ziguinchor,Piment,50
